Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,10.67,2.06,3.0,-3.39,200.54,127.63,114.25,111.66
7-12 game split,12.73,2.11,3.44,-3.96,204.22,125.42,119.15,114.06
13-18 game split,11.02,1.94,3.17,-3.79,206.6,122.02,103.92,101.92
19-24 game split,11.38,1.94,3.51,-3.85,205.43,123.05,108.93,105.18
25-30 game split,14.34,1.76,2.97,-3.47,195.57,125.24,118.62,118.62
31-36 game split,12.92,1.98,3.45,-3.74,197.81,133.08,113.86,110.97
37-38 game split,15.66,2.1,3.66,-4.0,199.53,128.24,114.64,94.31
