Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,7,71%,0%
1st,Deuce,Non-Slice,23,82%,47%
1st,Ad,Slice,2,100%,50%
1st,Ad,Non-Slice,23,82%,31%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,15,86%,69%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,22,100%,40%
