Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
13-30 game split,12.45,1.97,3.32,-4.25,184.31,122.57,121.91,104.46
5-31 game split,11.85,1.98,3.3,-4.17,185.77,118.69,119.9,104.38
1-25 game split,11.33,1.95,3.26,-3.98,186.55,120.6,118.25,103.91
4-20 game split,11.34,2.04,3.3,-4.01,185.85,119.44,120.76,105.76
3-29 game split,11.24,1.98,3.3,-4.08,185.85,121.53,120.97,104.52
14-14 game split,4.17,3.65,1.85,-3.95,,,,
