Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,6,66%,50%
1st,Deuce,Non-Slice,21,71%,40%
1st,Ad,Slice,3,66%,50%
1st,Ad,Non-Slice,24,75%,55%
2nd,Deuce,Slice,1,100%,100%
2nd,Deuce,Non-Slice,16,81%,69%
2nd,Ad,Slice,3,100%,0%
2nd,Ad,Non-Slice,10,70%,71%
