Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
4-23 game split,12.56,2.08,3.66,-4.74,173.85,115.13,117.48,107.09
1-24 game split,13.2,2.05,3.72,-4.73,172.91,115.37,117.45,108.65
3-25 game split,12.82,2.06,3.73,-4.74,173.27,113.03,117.29,108.77
10-21 game split,13.43,2.03,3.62,-4.76,173.23,115.52,116.9,108.93
22-22 game split,7.4,1.97,3.84,-2.3,173.47,125.89,,
