Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,1,0%,NO DATA
1st,Deuce,Non-Slice,17,58%,90%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,14,64%,55%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,14,85%,75%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,11,81%,33%
