Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,5,100%,20%
1st,Deuce,Non-Slice,6,16%,0%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,11,72%,37%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,10,70%,28%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,7,100%,57%
