Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,4,50%,0%
1st,Deuce,Non-Slice,7,71%,60%
1st,Ad,Slice,1,100%,100%
1st,Ad,Non-Slice,8,87%,85%
2nd,Deuce,Slice,1,0%,NO DATA
2nd,Deuce,Non-Slice,13,76%,70%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,11,90%,60%
