Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,5,60%,33%
1st,Deuce,Non-Slice,28,71%,55%
1st,Ad,Slice,4,100%,50%
1st,Ad,Non-Slice,18,83%,53%
2nd,Deuce,Slice,1,100%,100%
2nd,Deuce,Non-Slice,17,94%,43%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,26,92%,75%
