Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
3-29 game split,9.03,1.97,3.13,-3.99,190.61,130.15,123.38,114.59
5-28 game split,9.17,1.93,3.09,-3.97,190.51,130.24,124.02,114.71
2-19 game split,8.55,1.9,2.83,-3.74,191.85,130.6,122.65,114.02
10-31 game split,9.6,1.95,3.15,-3.96,190.63,129.36,124.08,115.14
1-30 game split,9.0,1.93,3.07,-3.9,191.01,129.63,123.47,115.4
17-17 game split,3.3,1.95,1.65,-5.05,,,,
