Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,10.57,2.07,3.08,-4.28,173.88,113.69,119.77,105.41
7-12 game split,7.25,1.5,2.59,-3.45,177.09,131.58,118.76,110.04
13-18 game split,7.99,1.83,2.54,-3.45,175.35,114.18,115.14,107.44
19-24 game split,7.36,1.52,2.82,-3.53,178.04,110.42,103.87,102.64
25-30 game split,7.6,1.93,2.49,-3.51,179.65,98.3,113.79,104.9
31-32 game split,9.85,2.02,2.86,-3.69,180.25,92.6,105.71,102.7
