Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,66%,50%
1st,Deuce,Non-Slice,12,83%,30%
1st,Ad,Slice,1,100%,100%
1st,Ad,Non-Slice,14,78%,36%
2nd,Deuce,Slice,1,0%,NO DATA
2nd,Deuce,Non-Slice,14,85%,58%
2nd,Ad,Slice,3,100%,33%
2nd,Ad,Non-Slice,10,90%,44%
