Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,6.93,2.25,4.27,-5.58,198.85,103.6,112.85,95.81
7-12 game split,5.05,1.86,3.74,-4.91,201.1,110.49,,90.03
13-14 game split,4.8,1.97,3.97,-3.93,196.79,92.8,,
