Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,4,100%,25%
1st,Deuce,Non-Slice,24,83%,30%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,20,50%,60%
2nd,Deuce,Slice,4,25%,100%
2nd,Deuce,Non-Slice,12,83%,80%
2nd,Ad,Slice,1,100%,0%
2nd,Ad,Non-Slice,21,85%,88%
