Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,100%,0%
1st,Deuce,Non-Slice,12,83%,50%
1st,Ad,Slice,4,100%,50%
1st,Ad,Non-Slice,10,80%,62%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,13,100%,53%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,11,63%,85%
