Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,12.31,2.31,3.26,-4.14,188.8,114.58,110.0,98.3
7-12 game split,9.88,2.38,3.39,-3.58,188.49,109.59,113.34,96.98
13-18 game split,10.47,1.92,2.98,-3.72,192.02,131.42,121.54,112.25
19-24 game split,9.12,2.39,2.98,-3.53,192.63,112.81,113.58,107.73
25-26 game split,11.27,2.01,2.46,-3.15,198.21,135.05,125.26,120.34
