Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,,,,,157.28,113.7,115.41,115.41
7-12 game split,,,,,153.74,118.64,116.06,108.51
13-18 game split,,,,,150.64,122.3,102.09,102.09
19-24 game split,,,,,155.28,119.57,103.65,99.33
25-30 game split,,,,,150.64,117.47,106.56,106.56
31-36 game split,,,,,155.96,114.65,114.43,112.66
37-42 game split,,,,,150.91,118.02,112.16,108.25
43-48 game split,,,,,140.31,114.84,119.21,119.21
49-54 game split,,,,,140.16,122.31,111.93,106.79
