Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.62,1.66,3.46,-4.04,155.16,116.17,117.87,115.01
7-12 game split,12.71,1.78,3.5,-4.37,161.5,116.05,112.62,111.31
13-15 game split,12.06,1.79,3.82,-4.82,156.71,113.61,89.66,83.89
