Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.97,1.82,2.54,-3.07,189.43,129.16,121.99,111.87
7-12 game split,6.7,1.87,3.21,-3.98,185.73,125.95,126.89,99.75
13-18 game split,7.72,2.15,3.16,-3.99,186.16,132.49,120.88,109.01
19-24 game split,6.61,1.98,2.97,-2.95,184.61,76.57,111.88,103.47
25-30 game split,8.22,1.93,2.39,-3.09,194.01,120.7,93.89,86.4
31-31 game split,11.56,1.72,4.08,-4.5,198.3,119.65,126.5,115.36
