Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.28,2.0,3.31,-3.88,203.64,118.37,116.42,116.42
7-12 game split,11.66,2.31,3.61,-4.65,203.36,118.6,125.87,111.35
13-18 game split,7.84,1.68,3.49,-3.97,208.81,128.03,119.96,114.97
19-22 game split,13.83,1.94,3.74,-3.62,202.08,117.83,119.01,116.9
