Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.86,2.19,4.63,-5.88,200.14,118.52,122.28,114.71
7-12 game split,13.58,2.27,5.51,-6.28,195.29,122.43,120.11,110.11
13-18 game split,10.73,2.2,5.22,-6.74,196.69,119.72,119.96,104.3
19-24 game split,13.54,2.19,5.61,-6.5,199.67,119.21,112.69,108.76
25-25 game split,11.02,1.8,3.9,-5.76,199.15,104.35,,
