Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,14.58,1.96,3.22,-3.65,187.13,116.99,116.47,109.05
7-12 game split,9.57,2.03,2.87,-3.21,185.69,118.7,110.63,102.38
13-18 game split,11.27,1.89,3.38,-3.82,188.07,117.71,118.56,106.25
19-24 game split,11.24,1.74,3.36,-3.43,188.27,123.74,112.88,112.88
25-30 game split,10.49,1.91,3.43,-3.7,188.26,111.05,104.0,101.23
31-32 game split,6.68,2.03,3.89,-5.15,183.32,79.11,116.97,106.81
