Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,100%,0%
1st,Deuce,Non-Slice,21,95%,50%
1st,Ad,Slice,6,66%,25%
1st,Ad,Non-Slice,14,85%,50%
2nd,Deuce,Slice,1,100%,0%
2nd,Deuce,Non-Slice,14,85%,41%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,11,72%,50%
