Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.99,2.01,3.29,-4.27,207.49,116.58,118.78,116.31
7-12 game split,5.38,2.0,3.06,-2.85,208.1,,110.25,110.25
13-18 game split,10.42,2.08,3.04,-3.38,209.62,129.79,116.5,116.5
19-24 game split,10.31,2.02,3.68,-3.84,204.27,117.12,119.32,115.02
25-30 game split,10.67,1.92,3.48,-4.12,200.95,132.72,121.38,114.15
31-35 game split,8.29,2.38,2.99,-3.74,203.29,112.46,134.04,102.26
